recall,precision,method
0.9879333333333333,0.292166952544311,FedTROS-PR
0.9879333333333333,0.29217847355034604,FedTROS-PR
0.9878666666666667,0.292170278210462,FedTROS-PR
0.9878666666666667,0.29218180025633445,FedTROS-PR
0.9878666666666667,0.29229707071703326,FedTROS-PR
0.9878666666666667,0.2923489721027503,FedTROS-PR
0.9877333333333334,0.2923210480625049,FedTROS-PR
0.9877333333333334,0.29243067206158097,FedTROS-PR
0.9877333333333334,0.2924999506445818,FedTROS-PR
0.9876,0.2926395638260045,FedTROS-PR
0.9876,0.2926453448173683,FedTROS-PR
0.9873333333333333,0.2927513886417996,FedTROS-PR
0.9873333333333333,0.2927571756147703,FedTROS-PR
0.9873333333333333,0.29290192433202145,FedTROS-PR
0.9872666666666666,0.29306762185589047,FedTROS-PR
0.9872666666666666,0.2930792218330068,FedTROS-PR
0.9871333333333333,0.29310344827586204,FedTROS-PR
0.9869333333333333,0.29312529700617773,FedTROS-PR
0.9868666666666667,0.293180962943891,FedTROS-PR
0.9868666666666667,0.2932274230929224,FedTROS-PR
0.9868666666666667,0.29329714093241666,FedTROS-PR
0.9868666666666667,0.29332619981769903,FedTROS-PR
0.9868666666666667,0.2933378249841471,FedTROS-PR
0.9868666666666667,0.2934075953381432,FedTROS-PR
0.9868666666666667,0.2934250431128466,FedTROS-PR
0.9868666666666667,0.29346576265810237,FedTROS-PR
0.9868,0.293527405409693,FedTROS-PR
0.9868,0.29353904731686037,FedTROS-PR
0.9868,0.2935681561254239,FedTROS-PR
0.9868,0.29361474222918693,FedTROS-PR
0.9868,0.29363804082604295,FedTROS-PR
0.9868,0.2937779100922894,FedTROS-PR
0.9868,0.2938070662961493,FedTROS-PR
0.9868,0.29388873446372554,FedTROS-PR
0.9868,0.29393542237578935,FedTROS-PR
0.9868,0.29395877189498354,FedTROS-PR
0.9868,0.2940054820641163,FedTROS-PR
0.9868,0.2940346834588109,FedTROS-PR
0.9868,0.2941690846218053,FedTROS-PR
0.9866,0.2942498111106693,FedTROS-PR
0.9866,0.29434345041568877,FedTROS-PR
0.9866,0.29443129140719815,FedTROS-PR
0.9866,0.29444300750084557,FedTROS-PR
0.9864,0.29445948097436714,FedTROS-PR
0.9864,0.29461778937098027,FedTROS-PR
0.9862666666666666,0.2946190305492492,FedTROS-PR
0.9861333333333333,0.2946789648783792,FedTROS-PR
0.9861333333333333,0.29471419178737224,FedTROS-PR
0.9860666666666666,0.2947529941611367,FedTROS-PR
0.9860666666666666,0.2947647422228422,FedTROS-PR
0.9860666666666666,0.29478824115595414,FedTROS-PR
0.9858666666666667,0.2948694941277342,FedTROS-PR
0.9858,0.29496130216229155,FedTROS-PR
0.9858,0.29507313471554286,FedTROS-PR
0.9858,0.29526167608474274,FedTROS-PR
0.9858,0.29537963684305146,FedTROS-PR
